# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 FPKM in experiment E-GEOD-50191
# Selected columns: 23 (all)
# Timestamp: Mon, 02-Nov-2020 23:33:03
Gene ID	Gene Name	vegetative meristem	internode 6-7	internode 7-8	growth zone of leaf 8	stomatal division zone of leaf 8	symmetrical division zone of leaf 8	mature leaf 8	primary root	root cortex	root differentiation zone	root elongation zone	secondary root	mature pollen	mature female spikelet	2-4 mm from tip of ear primordium	6-8 mm from tip of ear primordium	unpollinated silk	endosperm 12 days after pollination	endosperm crown	pericarp and aleurone	embryo 20 days after pollination	embryo 38 days after pollination	germinated embryo 2 days after imbibition
Zm00001d013307	WRKY-transcription factor 113	11.0	5.0	7.0	3.0	5.0	9.0	0.8	3.0	2.0	3.0	1.0	3.0		3.0	6.0	6.0	0.2	12.0	3.0	2.0	4.0	3.0	3.0
Zm00001d013308	Zm00001d013308													0.1					0.3	0.1	0.1			
Zm00001d013309	Zm00001d013309	174.0	152.0	154.0	59.0	74.0	72.0	42.0	176.0	105.0	290.0	214.0	167.0	17.0	104.0	59.0	57.0	108.0	58.0	26.0	40.0	49.0	116.0	150.0
Zm00001d013310	Zm00001d013310	13.0	17.0	14.0	12.0	19.0	18.0	15.0	18.0	9.0	34.0	14.0	16.0	0.3	9.0	12.0	11.0	9.0	22.0	4.0	6.0	13.0	8.0	23.0
Zm00001d013311	Zm00001d013311	0.5	0.4	0.1	0.3							0.3	0.1		1.0	1.0	2.0		0.4	0.4	0.3	1.0		0.1
Zm00001d013313	Zm00001d013313		0.2						1.0	3.0			0.4			0.6	2.0		0.1		4.0	0.7	0.2	0.3
Zm00001d013314	vesicular transport protein1	4.0	5.0	4.0	9.0	6.0	7.0	4.0	3.0	2.0	4.0	4.0	3.0	0.5	2.0	6.0	6.0	2.0	7.0	2.0	3.0	5.0	4.0	6.0
Zm00001d013316	Zm00001d013316					0.1																		
Zm00001d013317	Zm00001d013317	19.0	14.0	10.0	30.0	29.0	21.0	16.0	14.0	50.0	8.0	11.0	15.0	2.0	7.0	43.0	42.0	20.0	19.0	7.0	28.0	34.0	6.0	24.0
Zm00001d013318	Zm00001d013318	9.0	6.0	7.0	8.0	15.0	17.0	4.0	3.0	1.0	9.0	2.0	4.0	0.1	3.0	15.0	15.0	1.0	8.0	2.0	5.0	8.0	9.0	8.0
Zm00001d013319	Zm00001d013319	37.0	119.0	69.0	89.0	33.0	15.0	32.0	135.0	125.0	19.0	73.0	146.0	0.5	98.0	8.0	11.0	125.0	26.0	38.0	110.0	28.0	88.0	92.0
Zm00001d013320	Zm00001d013320	16.0	14.0	10.0	46.0	28.0	22.0	73.0	3.0	4.0	4.0	2.0	2.0	14.0	20.0	19.0	24.0	22.0	12.0	9.0	14.0	26.0	16.0	10.0
Zm00001d013321	Zm00001d013321													1.0					0.1	0.1				
Zm00001d013323	Zm00001d013323	44.0	53.0	45.0	39.0	76.0	58.0	0.4	21.0	0.7	58.0	8.0	26.0		38.0	114.0	93.0	0.4	18.0			68.0	2.0	7.0
Zm00001d013324	Zm00001d013324	3.0	4.0	2.0	4.0	2.0	1.0	30.0	2.0	2.0	4.0	2.0	2.0		8.0	16.0	15.0	42.0	2.0	1.0	2.0	22.0	2.0	9.0
Zm00001d013325	Zm00001d013325	18.0	18.0	19.0	3.0	4.0	6.0	9.0	34.0	22.0	42.0	22.0	34.0	31.0	30.0	11.0	10.0	16.0	51.0	96.0	17.0	13.0	20.0	14.0
Zm00001d013326	Zm00001d013326	3.0	9.0	5.0	8.0	2.0	3.0	11.0	1.0	4.0	0.8	2.0	2.0	6.0	10.0	4.0	4.0	17.0	13.0	9.0	4.0	20.0	0.2	4.0
Zm00001d013327	Zm00001d013327	0.5	3.0	1.0	3.0	0.8	0.3	0.4	2.0	0.4	0.5	0.3	2.0		1.0	0.6	0.6	0.1		0.1		0.1	0.7	3.0
Zm00001d013329	Zm00001d013329	34.0	68.0	65.0	51.0	47.0	63.0	19.0	68.0	13.0	136.0	48.0	75.0	0.7	29.0	57.0	50.0	20.0	68.0	5.0	14.0	62.0	36.0	43.0
Zm00001d013330	Zm00001d013330	18.0	19.0	22.0	19.0	24.0	26.0	9.0	21.0	5.0	42.0	13.0	19.0	5.0	6.0	23.0	22.0	4.0	22.0	7.0	11.0	19.0	17.0	18.0
Zm00001d013331	ZIM-transcription factor 2	3.0	1.0	1.0	0.9	0.9	1.0	12.0	0.7	2.0	2.0	0.4	0.8	12.0	0.6	1.0	2.0	1.0	3.0	2.0	6.0	2.0	3.0	1.0
Zm00001d013332	Zm00001d013332	35.0	35.0	34.0	38.0	65.0	26.0	12.0	38.0	27.0	85.0	39.0	46.0	3.0	32.0	38.0	35.0	18.0	78.0	6.0	20.0	69.0	27.0	47.0
Zm00001d013333	Zm00001d013333	1.0	0.5	0.6			0.3		0.5	2.0		0.2	0.3	28.0	3.0	8.0	6.0	2.0	4.0	0.6	12.0	11.0	2.0	1.0
Zm00001d013334	Zm00001d013334	5.0	1.0	1.0	3.0	7.0	6.0	3.0	0.6	0.6	2.0	1.0	0.5		0.5	4.0	4.0	0.9	2.0	0.4	2.0	2.0	2.0	3.0
Zm00001d013335	Zm00001d013335	10.0	7.0	7.0	14.0	14.0	13.0	4.0	5.0	2.0	6.0	6.0	6.0	0.3	4.0	12.0	13.0	2.0	2.0	0.8	4.0	6.0	4.0	5.0
Zm00001d013336	Zm00001d013336	16.0	14.0	20.0	20.0	19.0	24.0	9.0	9.0	4.0	9.0	7.0	9.0	0.5	17.0	34.0	33.0	5.0	8.0	3.0	7.0	13.0	10.0	7.0
Zm00001d013337	Zm00001d013337																			0.6	0.1			
Zm00001d013339	Zm00001d013339	18.0	10.0	12.0	6.0	7.0	8.0	10.0	14.0	15.0	21.0	20.0	13.0	0.5	28.0	7.0	7.0	21.0	7.0	2.0	7.0	9.0	10.0	10.0
Zm00001d013340	Zm00001d013340													3.0									0.2	0.1
Zm00001d013342	FHA-transcription factor 12	3.0	4.0	3.0	6.0	13.0	11.0	2.0	2.0	0.3	4.0	1.0	2.0	0.1	1.0	9.0	8.0	0.7	3.0	0.6	5.0	4.0	4.0	2.0
Zm00001d013343	Zm00001d013343	3.0	1.0	2.0	0.4	1.0	2.0	2.0	0.2	0.1	0.4	0.2	0.2	0.2	0.8	2.0	2.0	6.0	1.0	0.4	1.0	2.0	1.0	2.0
Zm00001d013344	Zm00001d013344	4.0	2.0	2.0	3.0	3.0	4.0	3.0	1.0	0.6	3.0	0.8	1.0		2.0	4.0	4.0	0.9	2.0	0.4	1.0	3.0	3.0	2.0
Zm00001d013346	GRF-transcription factor 14	42.0	18.0	17.0	10.0	20.0	17.0	2.0	2.0	1.0	6.0	3.0	3.0		4.0	27.0	42.0	3.0	1.0	0.4	1.0	14.0	10.0	10.0
Zm00001d013348	Zm00001d013348	16.0	13.0	15.0	7.0	7.0	7.0	53.0	7.0	16.0	8.0	2.0	7.0	10.0	5.0	10.0	9.0	18.0	3.0	0.8	5.0	10.0	13.0	8.0
Zm00001d013351	Zm00001d013351																			0.1	0.1			
Zm00001d013357	bHLH-transcription factor 154	11.0	7.0	8.0	3.0	4.0	8.0	0.1	1.0	0.3	5.0	1.0	1.0		2.0	12.0	11.0		0.2			6.0	0.7	2.0
Zm00001d013358	Zm00001d013358	6.0	5.0	5.0	6.0	9.0	15.0	4.0	3.0	0.4	11.0	2.0	3.0		1.0	15.0	14.0	0.7	7.0	0.9	4.0	11.0	6.0	7.0
Zm00001d013359	Zm00001d013359	17.0	6.0	8.0	2.0	5.0	7.0	0.5	5.0	2.0	14.0	2.0	4.0		8.0	9.0	8.0	4.0	4.0	0.1	1.0	7.0	7.0	6.0
Zm00001d013360	Zm00001d013360	12.0	11.0	11.0	10.0	10.0	10.0	19.0	6.0	18.0	6.0	7.0	5.0	1.0	9.0	13.0	13.0	11.0	8.0	6.0	10.0	11.0	9.0	14.0
Zm00001d013361	Zm00001d013361	9.0	4.0	4.0	7.0	7.0	12.0	8.0	1.0	1.0	4.0	1.0	1.0		5.0	15.0	16.0	4.0	6.0	0.7	5.0	16.0	10.0	8.0
Zm00001d013362	asg73	49.0	19.0	35.0	15.0	15.0	45.0	21.0	13.0	13.0	6.0	4.0	13.0		28.0	29.0	31.0	26.0	15.0	2.0	16.0	25.0	22.0	11.0
Zm00001d013364	Zm00001d013364	0.4	0.2	0.2	0.1	0.5	0.3	7.0	0.2	0.7		0.1	0.1	147.0	0.3	0.4	0.9	0.6	0.2			0.4	0.2	0.1
Zm00001d013367	alpha tubulin4	1004.0	1428.0	1493.0	796.0	470.0	502.0	50.0	1731.0	2048.0	689.0	1608.0	1533.0	1805.0	1609.0	418.0	361.0	1113.0	376.0	18.0	199.0	282.0	353.0	477.0
Zm00001d013370	bHLH-transcription factor 18		0.1						5.0	11.0	3.0	8.0	4.0		3.0	0.7	0.4	0.9			1.0	0.4		1.0
Zm00001d013371	Zm00001d013371	26.0	19.0	19.0	25.0	29.0	36.0	29.0	17.0	11.0	25.0	17.0	16.0	2.0	24.0	50.0	54.0	16.0	34.0	14.0	25.0	24.0	22.0	37.0
Zm00001d013375	Zm00001d013375	16.0	13.0	15.0	15.0	20.0	22.0	9.0	8.0	3.0	22.0	6.0	8.0	0.1	6.0	18.0	18.0	5.0	13.0	2.0	6.0	15.0	10.0	13.0
Zm00001d013376	Zm00001d013376	5.0	5.0	5.0	16.0	14.0	9.0	0.9	6.0	6.0	5.0	7.0	7.0		5.0	11.0	9.0	5.0	2.0	0.1	0.7	6.0	2.0	3.0
Zm00001d013377	Zm00001d013377	0.3	1.0	0.8	0.2	0.5	0.2		5.0	27.0	0.4	0.4	7.0						0.4		0.1			0.9
Zm00001d013378	Zm00001d013378	0.1						1.0	0.3	1.0	0.1		0.1					0.1		0.2	1.0		0.6	0.6
Zm00001d013380	Zm00001d013380	3.0	3.0	2.0	6.0	5.0	7.0	5.0	2.0	2.0	2.0	1.0	2.0		1.0	8.0	8.0	2.0	5.0	3.0	6.0	5.0	4.0	6.0
Zm00001d013381	Zm00001d013381																0.2		0.1		0.5			0.1
Zm00001d013383	Zm00001d013383	11.0	9.0	12.0	5.0	4.0	5.0	6.0	9.0	10.0	3.0	3.0	9.0	6.0	18.0	8.0	7.0	9.0	7.0	7.0	9.0	2.0	10.0	11.0
Zm00001d013384	Zm00001d013384	0.2	0.6	0.3	1.0	0.1		1.0	0.1	1.0	0.2	0.2	0.2		3.0	3.0	4.0	3.0	2.0	7.0	79.0	51.0	343.0	34.0
Zm00001d013385	GRAS-transcription factor 55	5.0	7.0	7.0	2.0	4.0	3.0	0.1	2.0	0.7	2.0	1.0	2.0		9.0	3.0	4.0	2.0	1.0	0.1	0.8	3.0	3.0	2.0
Zm00001d013386	Zm00001d013386	11.0	7.0	10.0	4.0	3.0	4.0	7.0	4.0	3.0	5.0	3.0	5.0	5.0	20.0	9.0	10.0	9.0	6.0	9.0	3.0	5.0	9.0	5.0
Zm00001d013387	Zm00001d013387	1.0	0.8	1.0	0.4	0.5	0.6	2.0	0.9	1.0	0.8	0.4	0.7	0.8	3.0	0.6	0.4	2.0	1.0	2.0	0.6	0.5	0.9	0.8
Zm00001d013389	Zm00001d013389	7.0	20.0	14.0	18.0	12.0	12.0	5.0	16.0	5.0	13.0	26.0	16.0	1.0	6.0	10.0	11.0	7.0	11.0	0.6	3.0	17.0	9.0	12.0
Zm00001d013390	Zm00001d013390	9.0	7.0	7.0	3.0	3.0	3.0	12.0	24.0	33.0	3.0	9.0	26.0		6.0	3.0	4.0	11.0	0.9	2.0	9.0	0.7	4.0	5.0
Zm00001d013391	Zm00001d013391	5.0	6.0	6.0	9.0	7.0	10.0	6.0	2.0	2.0	2.0	1.0	2.0		2.0	8.0	10.0	2.0	8.0	2.0	5.0	6.0	4.0	6.0
Zm00001d013392	Zm00001d013392	123.0	112.0	107.0	85.0	205.0	94.0	12.0	154.0	100.0	266.0	218.0	161.0	16.0	82.0	91.0	88.0	71.0	330.0	31.0	32.0	74.0	57.0	128.0
Zm00001d013393	Zm00001d013393	5.0	4.0	5.0	5.0	5.0	4.0	2.0	3.0	3.0	2.0	3.0	2.0	0.2	8.0	5.0	5.0	5.0	6.0	2.0	3.0	5.0	3.0	4.0
Zm00001d013395	Zm00001d013395	0.1												14.0	0.2	0.1	0.2					1.0	0.2	
Zm00001d013397	Zm00001d013397	17.0	28.0	24.0	21.0	13.0	10.0	8.0	43.0	20.0	35.0	77.0	44.0	18.0	19.0	10.0	11.0	17.0	3.0	0.3	8.0	13.0	9.0	29.0
Zm00001d013398	Zm00001d013398	18.0	33.0	25.0	37.0	41.0	16.0	22.0	11.0	18.0	6.0	10.0	10.0	8.0	41.0	15.0	21.0	8.0	4.0	0.2	2.0	5.0	1.0	8.0
Zm00001d013399	MYB-transcription factor 37							8.0	5.0	10.0			5.0											
Zm00001d013400	Zm00001d013400								5.0	9.0	0.1	12.0	4.0						0.1		0.3	41.0	10.0	7.0
Zm00001d013402	phytochromeA2	4.0	3.0	4.0	2.0	3.0	5.0	2.0	6.0	2.0	15.0	2.0	8.0	0.2	2.0	6.0	6.0	12.0	0.4	0.1	1.0	6.0	10.0	24.0
Zm00001d013405	Zm00001d013405	12.0	9.0	8.0	14.0	18.0	26.0	6.0	4.0	2.0	6.0	4.0	4.0	0.3	1.0	21.0	23.0	0.7	3.0	0.8	4.0	10.0	5.0	8.0
Zm00001d013406	Zm00001d013406	0.8	1.0	0.8	0.2	0.2	0.4	14.0	2.0	3.0	0.7	0.3	2.0	36.0	0.7	1.0	2.0	0.5	1.0		0.6	1.0	2.0	21.0
Zm00001d013407	Zm00001d013407							3.0																0.5
Zm00001d013409	ZF-HD-transcription factor 4	4.0		0.1	0.6	2.0	3.0	0.2	1.0	2.0	2.0	1.0	1.0		1.0	6.0	8.0	0.2				22.0	3.0	4.0
Zm00001d013410	Zm00001d013410	82.0	116.0	96.0	62.0	90.0	58.0	1.0	125.0	29.0	108.0	269.0	120.0	3543.0	30.0	27.0	41.0	17.0	14.0	0.6	3.0	33.0	10.0	72.0
Zm00001d013411	Zm00001d013411	8.0	11.0	11.0	18.0	9.0	5.0	71.0	6.0	6.0	3.0	6.0	6.0	1.0	18.0	10.0	8.0	22.0	3.0	5.0	12.0	10.0	9.0	7.0
Zm00001d013412	Zm00001d013412	11.0	9.0	13.0	7.0	9.0	11.0	19.0	2.0	2.0	0.7	1.0	2.0	0.1	1.0	13.0	12.0	11.0	0.7	0.5	3.0	9.0	13.0	15.0
Zm00001d013415	Zm00001d013415	32.0	35.0	51.0	40.0	33.0	31.0	4.0	13.0	0.8	10.0	16.0	13.0		41.0	43.0	38.0	7.0	12.0	7.0	9.0	35.0	21.0	16.0
Zm00001d013416	PHD-transcription factor 11	5.0	4.0	5.0	0.2	0.8	3.0	0.6	0.4	0.4	1.0		0.5		8.0	3.0	3.0	4.0	2.0	0.2	2.0	2.0	5.0	0.9
Zm00001d013417	Zm00001d013417	9.0	12.0	13.0	6.0	8.0	8.0	3.0	8.0	1.0	11.0	5.0	9.0		6.0	6.0	6.0	2.0	8.0	1.0	3.0	4.0	6.0	7.0
Zm00001d013418	Zm00001d013418	0.5	0.2		0.2	0.2	0.2	0.4	0.2	0.1	0.1		0.1		0.1	0.3	0.4	0.2	0.3		0.2	0.2	0.2	0.6
Zm00001d013419	Zm00001d013419	10.0	12.0	13.0	12.0	9.0	8.0	3.0	13.0	20.0	7.0	15.0	12.0	1.0	12.0	8.0	8.0	16.0	3.0	0.8	6.0	34.0	13.0	9.0
Zm00001d013420	Zm00001d013420	77.0	61.0	72.0	34.0	58.0	60.0	39.0	36.0	21.0	75.0	22.0	39.0	0.2	61.0	59.0	51.0	27.0	56.0	44.0	40.0	40.0	47.0	42.0
Zm00001d013421	Zm00001d013421	7.0	4.0	3.0	13.0	16.0	13.0	12.0	3.0	3.0	6.0	5.0	3.0	0.8	1.0	11.0	12.0	2.0	10.0	4.0	6.0	10.0	6.0	9.0
Zm00001d013422	Zm00001d013422			0.1					0.8		1.0		1.0		0.2	0.1	0.2	0.3			0.1	2.0	0.7	0.3
Zm00001d013423	mitogen-activated protein kinase kinase10																					0.1		
Zm00001d013424	Zm00001d013424	34.0	66.0	62.0	45.0	39.0	37.0	46.0	97.0	62.0	88.0	85.0	112.0	7.0	58.0	35.0	36.0	37.0	51.0	10.0	22.0	37.0	37.0	75.0
Zm00001d013425	Zm00001d013425	2.0	0.8	0.8	3.0	0.8	0.8	20.0		0.5			0.1		6.0	1.0	2.0	3.0		0.2	2.0	2.0	2.0	0.9
Zm00001d013426	Zm00001d013426	12.0	26.0	23.0	32.0	23.0	23.0	5.0	28.0	6.0	26.0	30.0	25.0	1.0	11.0	22.0	25.0	9.0	9.0	3.0	11.0	14.0	10.0	20.0
Zm00001d013427	Zm00001d013427	9.0	6.0	7.0	6.0	8.0	11.0	5.0	3.0	2.0	7.0	2.0	3.0	2.0	6.0	8.0	9.0	4.0	7.0	3.0	4.0	6.0	10.0	9.0
Zm00001d013428	phosphoglucomutase2	44.0	158.0	125.0	104.0	32.0	48.0	148.0	279.0	183.0	93.0	262.0	300.0	43.0	65.0	47.0	46.0	48.0	277.0	27.0	135.0	114.0	150.0	166.0
Zm00001d013429	Zm00001d013429	4.0	1.0	0.8	6.0	11.0	9.0	4.0	0.4	0.3	2.0	0.4	0.3		0.2	5.0	5.0	0.4	0.7	0.8	1.0	2.0	3.0	2.0
Zm00001d013430	Zm00001d013430	40.0	28.0	41.0	16.0	31.0	31.0	4.0	11.0	7.0	20.0	3.0	12.0	0.3	20.0	20.0	19.0	1.0	14.0	0.8	3.0	10.0	10.0	5.0
Zm00001d013431	Zm00001d013431	26.0	21.0	25.0	27.0	22.0	29.0	28.0	10.0	24.0	10.0	7.0	11.0	0.1	25.0	35.0	33.0	19.0	16.0	6.0	9.0	19.0	5.0	15.0
Zm00001d013432	Zm00001d013432	6.0	5.0	5.0	6.0	8.0	8.0	6.0	3.0	4.0	6.0	1.0	3.0	0.1	3.0	8.0	8.0	4.0	5.0	0.8	4.0	7.0	7.0	6.0
Zm00001d013435	Zm00001d013435	2.0	0.3	0.1	2.0	3.0	3.0	3.0	0.2	0.2	0.4	0.3	0.2		0.1	2.0	2.0	0.2	1.0	0.2	1.0	2.0	1.0	2.0
Zm00001d013439	Zm00001d013439	8.0	7.0	7.0	7.0	7.0	8.0	4.0	6.0	4.0	9.0	7.0	6.0	0.9	4.0	8.0	9.0	4.0	12.0	3.0	5.0	6.0	7.0	8.0
Zm00001d013440	Zm00001d013440	9.0	5.0	5.0	2.0	4.0	2.0	0.5	5.0	4.0	4.0	5.0	5.0	2.0	18.0	5.0	6.0	5.0	2.0	0.6	2.0	5.0	6.0	4.0
Zm00001d013441	Zm00001d013441	14.0	42.0	42.0	34.0	14.0	15.0	10.0	42.0	7.0	29.0	49.0	42.0	0.8	17.0	17.0	13.0	8.0	17.0	11.0	17.0	17.0	26.0	29.0
Zm00001d013442	Zm00001d013442	7.0	9.0	7.0	20.0	12.0	18.0	4.0	7.0	4.0	6.0	8.0	7.0	72.0	3.0	16.0	16.0	2.0	13.0	4.0	7.0	10.0	7.0	10.0
Zm00001d013443	C2C2-CO-like-transcription factor 8	0.5	10.0	10.0	0.7	0.8	0.8	95.0						0.1	5.0	0.1	1.0	17.0						
Zm00001d013444	Zm00001d013444	5.0	8.0	6.0	13.0	9.0	8.0	5.0	5.0	3.0	7.0	7.0	5.0	0.8	2.0	8.0	8.0	2.0	6.0	2.0	4.0	5.0	4.0	8.0
Zm00001d013445	Zm00001d013445	2.0	0.9	1.0	0.9	0.4	0.5	4.0	5.0	6.0	2.0	8.0	5.0	30.0	3.0	2.0	2.0	7.0	4.0	0.7	4.0	1.0	2.0	12.0
Zm00001d013446	Zm00001d013446	10.0	10.0	11.0	11.0	5.0	6.0	202.0	4.0	34.0	2.0	2.0	4.0	0.1	35.0	7.0	9.0	101.0	3.0	0.3	5.0	24.0	3.0	26.0
Zm00001d013447	Zm00001d013447	27.0	22.0	32.0	16.0	34.0	35.0	5.0	4.0	3.0	12.0	2.0	5.0	0.4	7.0	43.0	39.0	4.0	17.0	1.0	3.0	28.0	8.0	4.0
Zm00001d013448	Zm00001d013448	14.0	16.0	17.0	5.0	2.0	7.0	3.0	0.4	4.0			0.3		8.0	10.0	10.0	122.0	6.0		2.0	0.5	0.7	6.0
Zm00001d013449	Zm00001d013449	28.0	22.0	24.0	15.0	31.0	25.0	17.0	21.0	3.0	57.0	9.0	21.0	0.1	12.0	22.0	22.0	6.0	18.0	3.0	8.0	18.0	24.0	35.0
Zm00001d013451	GeBP-transcription factor 5	4.0	5.0	5.0	4.0	6.0	3.0	2.0	6.0	3.0	6.0	4.0	6.0	3.0	9.0	5.0	4.0	7.0	4.0	2.0	5.0	3.0	8.0	7.0
Zm00001d013452	Zm00001d013452	2.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	0.5	0.8	3.0		2.0	2.0	3.0	3.0	1.0	0.3	3.0	2.0	1.0	5.0
Zm00001d013453	Zm00001d013453	9.0	10.0	9.0	13.0	15.0	18.0	7.0	8.0	4.0	10.0	6.0	8.0		5.0	12.0	12.0	4.0	7.0	2.0	7.0	7.0	7.0	8.0
Zm00001d013455	Zm00001d013455	5.0	8.0	6.0	16.0	5.0	3.0	115.0	0.2	0.5		0.1	0.2		8.0	2.0	3.0	14.0				0.3	0.1	1.0
Zm00001d013456	Zm00001d013456	20.0	26.0	26.0	23.0	12.0	15.0	32.0	23.0	35.0	12.0	22.0	26.0	3.0	26.0	18.0	19.0	60.0	8.0	1.0	8.0	20.0	13.0	20.0
Zm00001d013459	Zm00001d013459	0.1	0.1		0.1	0.5	0.4	2.0	0.4	0.4	0.6	0.9	0.2			0.7	0.6					3.0	0.4	1.0
Zm00001d013460	Zm00001d013460						0.8	1.0	0.8		0.8	0.9					2.0					1.0		1.0
Zm00001d013461	Zm00001d013461	12.0	26.0	11.0	34.0	29.0	13.0	0.1	13.0	40.0	8.0	44.0	11.0		15.0	5.0	8.0	7.0	4.0	1.0	2.0	61.0	21.0	27.0
Zm00001d013463	Zm00001d013463	5.0	0.7	0.6	1.0	4.0	6.0	1.0	0.1		1.0		0.1		0.1	3.0	4.0	0.4	0.3	0.1	0.9	2.0	2.0	2.0
Zm00001d013465	dwarf plant9	13.0	53.0	38.0	12.0	11.0	9.0	5.0	29.0	17.0	10.0	17.0	36.0		46.0	23.0	23.0	19.0	3.0	4.0	5.0	14.0	30.0	57.0
Zm00001d013466	ring hc protein1	6.0	4.0	3.0	8.0	8.0	9.0	7.0	3.0	3.0	2.0	2.0	2.0		3.0	9.0	11.0	3.0	4.0	6.0	7.0	5.0	4.0	5.0
Zm00001d013467	TCP-transcription factor 6	0.2	0.1	0.7	0.1		0.1								0.1									
Zm00001d013468	Zm00001d013468	3.0	3.0	2.0	5.0	5.0	6.0	0.7	2.0	0.3	0.2	1.0	6.0		6.0	11.0	6.0	1.0				0.5		2.0
Zm00001d013469	Zm00001d013469	19.0	15.0	17.0	18.0	24.0	22.0	0.4	7.0	4.0	13.0	9.0	9.0	0.3	6.0	14.0	16.0	2.0	10.0	0.6	1.0	10.0	6.0	9.0
Zm00001d013470	Zm00001d013470	1.0	1.0	1.0	2.0	2.0	2.0	0.6	1.0	1.0	1.0	2.0	1.0	7.0	1.0	2.0	2.0	1.0	1.0	0.6	1.0	2.0	1.0	2.0
Zm00001d013471	set domain gene130	4.0	2.0	3.0	6.0	8.0	12.0	4.0	0.8	0.3	4.0	0.8	1.0		1.0	12.0	12.0	1.0	4.0	0.3	2.0	6.0	3.0	4.0
Zm00001d013472	Zm00001d013472	0.6				0.9	0.8										0.8					0.5		0.9
Zm00001d013473	Zm00001d013473														2.0				5.0		0.6		0.1	
Zm00001d013477	Zm00001d013477	8.0	5.0	4.0	8.0	7.0	7.0	3.0	1.0	2.0	2.0	3.0	1.0		3.0	9.0	10.0	2.0	2.0	3.0	3.0	8.0	5.0	2.0
Zm00001d013480	Zm00001d013480	0.1												23.0	0.2									
Zm00001d013481	Zm00001d013481	16.0	18.0	22.0	7.0	10.0	24.0	2.0	21.0	13.0	28.0	13.0	18.0	0.1	7.0	12.0	13.0	7.0	4.0	0.4	5.0	8.0	8.0	11.0
Zm00001d013482	Zm00001d013482												0.1								0.1	0.1		
Zm00001d013485	Zm00001d013485	33.0	10.0	9.0	23.0	50.0	50.0	20.0	4.0	4.0	14.0	4.0	4.0		4.0	37.0	43.0	2.0	22.0	5.0	12.0	29.0	18.0	17.0
Zm00001d013486	ethylene receptor1-14	5.0	7.0	7.0	7.0	7.0	9.0	3.0	5.0	9.0	3.0	3.0	5.0	0.1	6.0	6.0	6.0	2.0	0.5	0.4	3.0	5.0	3.0	3.0
Zm00001d013487	Zm00001d013487	9.0	5.0	7.0	2.0	2.0	2.0	10.0	7.0	53.0	2.0	0.4	9.0		42.0	11.0	16.0	22.0	1.0	1.0	17.0	13.0	23.0	10.0
Zm00001d013488	Zm00001d013488	0.6	0.9	1.0	0.9	1.0	1.0	0.9	1.0	0.2	2.0	0.3	1.0	0.1	0.5	0.8	0.9	0.6	0.6	0.1	0.4	0.6	0.7	0.9
Zm00001d013489	Zm00001d013489	2.0	0.9	1.0	0.2	0.7	1.0	3.0	0.9	1.0	0.5	0.2	0.3		0.6	5.0	5.0		2.0	1.0	1.0	0.3	4.0	0.9
Zm00001d013492	Zm00001d013492	2.0	0.4	0.5	0.2	0.7	3.0	0.5	0.1		0.2	0.1	0.1	0.1	0.5	3.0	3.0	0.1	3.0	0.4	5.0	10.0	16.0	2.0
Zm00001d013493	lipoxygenase5	154.0	281.0	248.0	86.0	69.0	103.0	3.0	11.0	14.0	0.7	7.0	6.0		97.0	18.0	31.0	74.0	1.0	0.5	5.0	6.0	4.0	6.0
Zm00001d013494	oleosin3	2.0			0.1	0.3	0.3	0.6	0.1		0.1	0.1			4.0	0.4	0.4		52.0	28.0	555.0	2048.0	2744.0	89.0
Zm00001d013495	Zm00001d013495	8.0	6.0	4.0	3.0	15.0	14.0		2.0	0.1	7.0	1.0	2.0		1.0	9.0	8.0	0.3	7.0		0.7	7.0	1.0	2.0
Zm00001d013496	Zm00001d013496	7.0	8.0	9.0	7.0	11.0	7.0	9.0	7.0	3.0	8.0	9.0	7.0	0.3	4.0	5.0	5.0	3.0	5.0	3.0	4.0	4.0	5.0	5.0
Zm00001d013497	C3H-transcription factor 327	13.0	12.0	17.0	8.0	8.0	9.0	5.0	14.0	4.0	13.0	11.0	13.0	0.1	9.0	11.0	11.0	4.0	6.0	3.0	8.0	3.0	12.0	15.0
Zm00001d013498	Zm00001d013498	26.0	19.0	24.0	17.0	19.0	41.0	18.0	10.0	24.0	5.0	3.0	10.0	19.0	110.0	63.0	77.0	57.0	21.0	19.0	37.0	24.0	15.0	26.0
Zm00001d013499	Zm00001d013499	6.0	3.0	2.0	5.0	11.0	10.0	6.0	4.0	3.0	7.0	6.0	3.0	0.5	1.0	9.0	11.0	2.0	5.0	1.0	4.0	5.0	4.0	8.0
Zm00001d013500	Zm00001d013500									0.4				18.0	0.1			0.3				0.1		
Zm00001d013501	CCAAT-HAP2-transcription factor 21	4.0	0.1	0.1		0.4	3.0	12.0	4.0	42.0	0.3	0.3	5.0	0.2		0.6	0.7	8.0	0.3	0.2	0.3	1.0	1.0	1.0
Zm00001d013502	Zm00001d013502	15.0	3.0	7.0	2.0	20.0	15.0			0.4			0.1		3.0	28.0	46.0	0.7	0.6		2.0	37.0	3.0	0.2
